Time (s),Temperature (K)
0.628,1669.8050113466852
0.629,1669.9219088457075
0.63,1670.1925375182282
0.631,1670.336797916682
0.632,1670.2175468976402
0.633,1670.1043072276793
0.634,1669.9894071742679
0.635,1670.1257433603673
0.636,1670.2868764885857
0.637,1670.3402011903627
0.638,1670.5016388179884
0.639,1670.4913660660714
0.64,1670.4203857475968
0.641,1670.3471034358872
0.642,1670.3775222485583
0.643,1670.3642081648986
0.644,1670.321005451638
0.645,1670.319236397003
0.646,1670.3480531547875
0.647,1670.4330058131914
0.648,1670.4911669029761
0.649,1670.526087067868
0.65,1670.507987755987
0.651,1670.4212678951535
0.652,1670.4595520751745
0.653,1670.4190379326587
0.654,1670.5808764574203
0.655,1670.5532975583587
0.656,1670.568018169226
0.657,1670.6843472409937
0.658,1670.8168809745844
0.659,1670.6930873134747
0.66,1670.6925530172798
0.661,1670.7419107966589
0.662,1670.8074174810536
0.663,1671.2016945146897
0.664,1670.890700001134
0.665,1670.631525772712
0.666,1670.481495969551
0.667,1670.2965179789758
0.668,1670.4709627209686
0.669,1670.8323574512206
0.67,1670.9471847120917
0.671,1670.6109645674233
0.672,1670.7115051144651
0.673,1670.7749975711367
0.674,1670.7751683625543
0.675,1670.914604263528
0.676,1670.9681988743123
0.677,1671.2472625824262
0.678,1671.353456203652
0.679,1671.1001485912798
0.68,1670.8387114508541
0.681,1670.8325707176118
0.682,1668.8000229802292
0.683,1669.0802488277782
0.684,1669.0569009121305
0.685,1669.129062775054
0.686,1669.0439846472077
0.687,1669.20227375098
0.688,1669.146534444827
0.689,1669.223444716487
0.69,1669.31910413997
0.691,1669.0741843674055
0.692,1669.0327031018483
0.693,1668.9892904078079
0.694,1668.9636163564596
0.695,1668.9628183333298
0.696,1668.8098592331648
0.697,1668.7987740007488
0.698,1668.8239752741092
0.699,1668.8898907990988
0.7,1668.9323162157102
0.701,1668.826712789255
0.702,1668.8617870816665
0.703,1668.8860876687936
0.704,1668.8797009208988
0.705,1668.718917435825
0.706,1668.8200016584697
0.707,1668.7370638277425
0.708,1668.8640237464742
0.709,1668.7748907306445
0.71,1668.694013787106
0.711,1668.56907257484
0.712,1668.5918728752567
0.713,1668.539373290128
0.714,1668.4086575476745
0.715,1668.286115088813
0.716,1668.3129401814704
0.717,1668.2642253039799
0.718,1668.09545441495
0.719,1668.3238373658069
0.72,1668.2926220777808
0.721,1668.4125618022
0.722,1669.591682412407
0.723,1669.4764801386764
0.724,1669.3520624634884
0.725,1669.4892176091475
0.726,1669.4695282802118
0.727,1669.651695499484
0.728,1669.8371616778495
0.729,1669.8969415052597
0.73,1669.8446027520977
0.731,1669.9086981292944
0.732,1670.0137422316548
0.733,1670.04396546107
0.734,1670.067230744679
0.735,1669.9997247440933
0.736,1669.9638042662841
0.737,1669.9664314653323
0.738,1669.980959931072
0.739,1669.9807103780017
0.74,1670.02764619132
0.741,1670.0581803260866
0.742,1670.0779178050839
0.743,1670.0895242638135
0.744,1670.1813489170745
0.745,1670.1812418067202
0.746,1670.1133266687493
0.747,1670.0802894728795
0.748,1670.0775859414512
0.749,1670.10607784573
0.75,1670.0936984860073
0.751,1670.094867271282
0.752,1669.8533512595754
0.753,1669.8352212298705
0.754,1669.81184213474
0.755,1669.9971662311777
0.756,1669.9519517491613
0.757,1669.9031465443818
0.758,1669.8469310333376
0.759,1669.7604158139588
0.76,1669.594134089241
0.761,1669.8080945526544
0.762,1669.8652679777633
0.763,1669.8037924125574
0.764,1669.98233792069
0.765,1669.9973251999322
0.766,1669.7447535859078
0.767,1669.7007770216637
0.768,1669.4859139579803
0.769,1669.3400148006658
0.77,1669.2601280245663
0.771,1669.5156057710192
0.772,1669.171579243538
0.773,1668.8349161408291
